"NOMBRES M�S POPULARES DE MUJER, 2020",,,,,,"NOMBRES M�S POPULARES DE HOMBRE, 2020",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
120,SARAHI,MUJER,472,,,120,EMANUEL,HOMBRE,698
121,EMILY SOFIA,MUJER,469,,,121,CESAR,HOMBRE,690
122,XIMENA GUADALUPE,MUJER,469,,,122,VICTOR MANUEL,HOMBRE,690
123,GRECIA,MUJER,460,,,123,MARIO,HOMBRE,683
124,FRIDA,MUJER,452,,,124,JESUS DANIEL,HOMBRE,681
125,YAMILET,MUJER,450,,,125,BENJAMIN,HOMBRE,674
126,CAMILA GUADALUPE,MUJER,443,,,126,JOSE CARLOS,HOMBRE,670
127,MARIA DEL CARMEN,MUJER,441,,,127,IAN ALEXANDER,HOMBRE,661
128,DANNA PAOLA,MUJER,435,,,128,JOSE DANIEL,HOMBRE,660
129,ALICIA,MUJER,431,,,129,ANGEL SANTIAGO,HOMBRE,656
130,BARBARA,MUJER,424,,,130,ARMANDO,HOMBRE,653
131,NAHOMI,MUJER,423,,,131,LUIS,HOMBRE,653
132,LIA VICTORIA,MUJER,421,,,132,JOSHUA,HOMBRE,642
133,MARGARITA,MUJER,420,,,133,FABIAN,HOMBRE,641
134,ANA PAOLA,MUJER,419,,,134,IAN GAEL,HOMBRE,635
135,JADE,MUJER,416,,,135,CRISTOPHER,HOMBRE,634
136,MONSERRATH,MUJER,416,,,136,JESUS ADRIAN,HOMBRE,630
137,ARIADNA,MUJER,415,,,137,JESUS EDUARDO,HOMBRE,630
138,JUANA,MUJER,414,,,138,EDGAR,HOMBRE,626
139,MIA SOFIA,MUJER,414,,,139,ISAIAS,HOMBRE,625
140,CONSTANZA,MUJER,412,,,140,DILAN,HOMBRE,622
141,ALEXA SOFIA,MUJER,410,,,141,JOSE JULIAN,HOMBRE,618
142,ANGELICA,MUJER,408,,,142,ULISES,HOMBRE,618
143,MARIA PAULA,MUJER,404,,,143,CHRISTOPHER,HOMBRE,616
144,LIA SOFIA,MUJER,403,,,144,ADRIEL,HOMBRE,614
145,JULIA,MUJER,402,,,145,JOSE GUADALUPE,HOMBRE,609
146,AITANA GUADALUPE,MUJER,400,,,146,LUIS ALBERTO,HOMBRE,607
147,DENISSE,MUJER,399,,,147,EDWIN,HOMBRE,605
148,REGINA GUADALUPE,MUJER,398,,,148,DYLAN GAEL,HOMBRE,603
149,VIOLETA,MUJER,397,,,149,LUIS DANIEL,HOMBRE,601
150,MARIA ALEJANDRA,MUJER,396,,,150,ANGEL DE JESUS,HOMBRE,600
151,TANIA,MUJER,396,,,151,CALEB,HOMBRE,600
152,MILAGROS,MUJER,386,,,152,CHRISTIAN,HOMBRE,596
153,SCARLETT,MUJER,385,,,153,GUILLERMO,HOMBRE,592
154,BRENDA,MUJER,382,,,154,JUAN ANTONIO,HOMBRE,592
155,ROSA,MUJER,380,,,155,IAN SANTIAGO,HOMBRE,588
156,DANNA,MUJER,377,,,156,LUIS ENRIQUE,HOMBRE,584
157,GISELLE,MUJER,377,,,157,JOEL,HOMBRE,581
158,EVELIN,MUJER,370,,,158,JORGE LUIS,HOMBRE,581
159,NATALY,MUJER,370,,,159,JOSE DE JESUS,HOMBRE,581
160,CECILIA,MUJER,362,,,160,YAHIR,HOMBRE,580
161,MIA VICTORIA,MUJER,362,,,161,ABDIEL,HOMBRE,569
162,HELENA,MUJER,360,,,162,JESUS ALEXANDER,HOMBRE,569
163,LUISA FERNANDA,MUJER,360,,,163,DYLAN MATEO,HOMBRE,567
164,KARLA SOFIA,MUJER,359,,,164,IKER GAEL,HOMBRE,566
